ID,FULL_NAME,FIRST_NAME,LAST_NAME,CALLING_NBR,FULL_NAME_CALLED,CALLED_NBR,START_DATE,DURATION,END_DATE,CELL_TOWER,CITY,STATE,ADDRESS
23,Robbie Yeandel,Robbie,Yeandel,46(242)707-0951,Kizzee Bridgman,81(328)317-6480,1582974396,53,1582974449,143,Buffalo,NY,6116 Judy Place
24,Jorry Frood,Jorry,Frood,53(353)147-7565,Sandie Bannester,33(238)417-7042,1588438771,104,1588438875,26,Utica,NY,8 Tony Plaza
25,Corny Kohrt,Corny,Kohrt,86(743)737-7381,Felecia Ragsdall,86(770)473-5022,1598560350,291,1598560641,105,Elmira,NY,386 Sauthoff Lane
26,Madlin Churly,Madlin,Churly,62(653)576-9186,Earl Bettleson,86(788)189-7752,1582100001,192,1582100193,84,Buffalo,NY,0 Manufacturers Drive
27,Amelie Rispine,Amelie,Rispine,86(712)383-3508,Cordy Collocott,84(182)395-6004,1579945251,123,1579945374,144,Jamaica,NY,41753 Rockefeller Circle
28,Flora Twopenny,Flora,Twopenny,370(362)438-7285,Orson Maidlow,86(641)414-4252,1586467593,279,1586467872,61,Yonkers,NY,3761 Center Parkway
29,Nester Strutz,Nester,Strutz,55(767)502-0335,Aldridge Janicki,63(724)385-5737,1592740576,206,1592740782,13,New York City,NY,50258 Kropf Parkway
30,Thadeus Glentworth,Thadeus,Glentworth,261(280)768-8563,Amby Beyn,86(253)571-3371,1587713739,143,1587713882,87,New York City,NY,480 Bunker Hill Point
31,Anette Kynvin,Anette,Kynvin,86(960)182-3403,Pip Foxworthy,54(556)180-1309,1598318482,119,1598318601,1,Rochester,NY,994 Grim Pass
32,Rochester Francesch,Rochester,Francesch,81(282)880-3044,Gracie Sodo,62(842)653-7499,1579680357,161,1579680518,53,Buffalo,NY,03 Hudson Alley
33,Lewiss Topley,Lewiss,Topley,54(620)936-0162,Guthry Raubenheimers,60(209)342-9772,1599105966,133,1599106099,12,Flushing,NY,9 Sunbrook Alley
34,Esme Robke,Esme,Robke,7(354)418-5473,Sandie Bannester,33(238)417-7042,1583952412,47,1583952459,20,Albany,NY,3 Messerschmidt Way
35,Kendal Van Arsdall,Kendal,Van Arsdall,66(683)402-0014,Meir Collishaw,86(674)652-8152,1584840038,62,1584840100,79,Rochester,NY,630 Kropf Junction
36,Denna Millea,Denna,Millea,49(720)972-5744,Calida Cubberley,86(707)532-0252,1585174706,23,1585174729,61,Rochester,NY,69530 Holmberg Road
37,Pepi Hughes,Pepi,Hughes,62(130)219-2064,Clarie Crambie,52(622)229-7832,1588452013,150,1588452163,61,Jamaica,NY,0 Utah Circle
38,Madalena Piens,Madalena,Piens,7(873)202-8665,Nahum Salterne,55(615)681-2433,1595667964,230,1595668194,75,New York City,NY,2 Dayton Terrace
39,Marlo Tarbath,Marlo,Tarbath,55(619)668-8271,Carleton Backhouse,351(457)889-0802,1590835504,103,1590835607,40,New York City,NY,30082 Scofield Court
40,Nanette Thomason,Nanette,Thomason,49(938)680-6932,Nickolai Folliott,62(456)221-3619,1590154628,146,1590154774,12,New York City,NY,00458 School Place
41,Adda Laying,Adda,Laying,63(649)227-7683,Kerby Deport,55(453)179-6060,1590491131,172,1590491303,11,Schenectady,NY,034 Surrey Pass
42,Brig Bishell,Brig,Bishell,7(639)598-7869,Becca Clinton,48(348)894-0231,1586415146,266,1586415412,125,New York City,NY,58 Moulton Road
43,Baxy Knewstub,Baxy,Knewstub,381(393)637-7261,Alic Roycroft,386(998)932-6292,1578753860,201,1578754061,95,Jamaica,NY,272 Carpenter Lane
44,Pepi Hughes,Pepi,Hughes,62(130)219-2064,Desi Leith-Harvey,46(459)115-3783,1583140622,297,1583140919,117,Buffalo,NY,5 Ruskin Street
45,Ephrem Blodget,Ephrem,Blodget,55(948)259-7397,Roldan Ianitti,381(150)523-3916,1601481034,14,1601481048,111,Buffalo,NY,25951 Colorado Alley
46,Jeremiah Follen,Jeremiah,Follen,62(681)312-9817,Stanton Olivey,62(168)265-5994,1597993041,182,1597993223,122,Bronx,NY,0 Scoville Junction
47,Lionel Kubacki,Lionel,Kubacki,380(543)254-0045,Brnaba Waitland,30(131)644-9200,1599716264,249,1599716513,24,Albany,NY,71 Spaight Lane
48,Ettie Drayn,Ettie,Drayn,7(598)311-2297,Luis Habbergham,351(923)831-6189,1595494092,112,1595494204,126,Bronx,NY,93629 Pleasure Place
49,Andie Cadamy,Andie,Cadamy,86(898)915-5478,Ranee Almond,66(988)806-9365,1596752553,70,1596752623,26,Buffalo,NY,87 Darwin Road
50,Janean Gisbey,Janean,Gisbey,1(795)843-2007,Monro Sango,62(678)287-6038,1598653112,44,1598653156,136,Great Neck,NY,5305 Esker Point
51,Cynthia Hallewell,Cynthia,Hallewell,48(812)215-1113,Walden Vanyatin,54(641)316-5091,1587738870,23,1587738893,55,Bronx,NY,32845 Brown Plaza
52,Andros Brabbins,Andros,Brabbins,63(524)369-2699,Katrina Wheildon,351(507)495-3520,1601303909,95,1601304004,120,Brooklyn,NY,2 Arizona Drive
53,Tobi Biaggioni,Tobi,Biaggioni,86(156)653-4733,Tuckie MacDunleavy,86(782)746-0805,1594304149,98,1594304247,118,Syracuse,NY,31042 Lunder Pass
54,Haydon Akitt,Haydon,Akitt,39(883)497-1444,Amelia Korbmaker,33(273)769-0113,1598741675,287,1598741962,28,Flushing,NY,44 Dennis Parkway
55,Drew Blacker,Drew,Blacker,41(634)454-5190,Stanton Olivey,62(168)265-5994,1601489299,46,1601489345,76,New York City,NY,39 Del Mar Crossing
56,Vonni Dreye,Vonni,Dreye,420(593)158-0045,Menard Sholem,63(138)399-8277,1596229851,283,1596230134,76,New York City,NY,06 Fremont Pass
57,Pauly Copson,Pauly,Copson,1(646)211-4908,Tiebout Tiler,58(761)230-0102,1589862803,247,1589863050,83,Brooklyn,NY,7448 Harper Court
58,Mayne Childs,Mayne,Childs,63(659)485-4929,Fredia Larmour,53(215)155-7869,1584993411,199,1584993610,112,Schenectady,NY,0 Twin Pines Trail
59,Maitilde Picardo,Maitilde,Picardo,850(456)355-5323,Bernadine Renshaw,95(870)194-3318,1581598792,127,1581598919,45,Syracuse,NY,90878 Hudson Trail
60,Ramonda Wight,Ramonda,Wight,62(135)960-7190,Lewiss Topley,54(620)936-0162,1598893731,129,1598893860,11,Schenectady,NY,0 Forster Terrace
61,Rowena Sleaford,Rowena,Sleaford,46(244)916-2315,Sheppard Rene,33(158)876-6822,1592386923,204,1592387127,3,Mount Vernon,NY,04 Carpenter Pass
62,Lyon Yeudall,Lyon,Yeudall,62(797)273-0872,Denis Taberer,86(904)525-5222,1590151153,154,1590151307,31,Albany,NY,5692 Autumn Leaf Hill
63,Man Ganforthe,Man,Ganforthe,46(582)739-3157,Forester Jentin,420(115)891-1019,1592000471,121,1592000592,136,Buffalo,NY,352 Ridgeview Lane
64,Katrina Wheildon,Katrina,Wheildon,351(507)495-3520,Leo Canedo,84(336)501-0343,1598858035,164,1598858199,14,Brooklyn,NY,86 Mockingbird Alley
65,Gizela Bardey,Gizela,Bardey,57(603)155-6377,Gabriel Tribe,353(955)836-9895,1597854857,110,1597854967,32,Albany,NY,72465 Anniversary Alley
66,Glad Decort,Glad,Decort,48(994)438-3059,Jenda Gidley,33(163)804-8179,1584945964,298,1584946262,14,Flushing,NY,452 Colorado Alley
67,Irwin Coling,Irwin,Coling,234(132)800-1989,Ardisj Tort,7(275)584-5094,1577860373,113,1577860486,93,Brooklyn,NY,3210 Moose Place
68,Barron Masedon,Barron,Masedon,86(239)257-5821,Hewitt Brownett,46(412)108-1067,1602346595,66,1602346661,69,New York City,NY,6400 Maryland Hill
69,Michael Ruhben,Michael,Ruhben,7(881)181-1270,Seward Maw,7(441)693-4615,1591298614,225,1591298839,94,New York City,NY,22422 Northview Alley
70,Theresa Samter,Theresa,Samter,86(799)778-2743,Karlik Marval,62(696)626-1539,1597485878,109,1597485987,37,New York City,NY,52 Lindbergh Court
71,Giuseppe Haack,Giuseppe,Haack,66(230)466-1989,Wylie Reeves,7(738)367-4374,1596309250,137,1596309387,31,New Hyde Park,NY,46 Meadow Vale Place
72,Cherice Diwell,Cherice,Diwell,55(261)341-5888,Murdoch Sutliff,52(488)167-6556,1581277831,64,1581277895,29,New York City,NY,48 Iowa Road
73,Carmella Sawyer,Carmella,Sawyer,63(979)884-2490,Frannie Nibley,358(675)167-3990,1602027204,99,1602027303,97,Rochester,NY,8381 Ridge Oak Avenue
74,Ruddie Witcomb,Ruddie,Witcomb,86(771)773-0459,Brig Bishell,7(639)598-7869,1598336000,40,1598336040,16,Jamaica,NY,3 Hoepker Way
75,Darla Fitchett,Darla,Fitchett,51(847)336-0553,Delmor Dabbs,86(694)844-1123,1591968119,288,1591968407,3,New York City,NY,6 Grover Avenue
76,Angelia Currey,Angelia,Currey,86(420)665-9233,Iver Foulsham,62(109)400-7094,1592469388,106,1592469494,59,Syracuse,NY,2353 Northport Place
77,Ferdinand Mushawe,Ferdinand,Mushawe,55(805)580-6128,Bernadine Renshaw,95(870)194-3318,1599630549,296,1599630845,123,New York City,NY,697 Onsgard Center
78,Rubi Fackney,Rubi,Fackney,86(101)365-3283,Milissent Gammack,62(486)106-5418,1578275653,219,1578275872,108,Albany,NY,5 Hazelcrest Trail
79,Raychel Huscroft,Raychel,Huscroft,380(869)492-8421,Blakelee Ghirigori,62(668)125-6905,1584586427,163,1584586590,107,New York City,NY,170 Menomonie Avenue
80,Jayson Sample,Jayson,Sample,51(186)257-8905,Antoine Puckham,351(635)277-2293,1584704271,185,1584704456,91,New York City,NY,76125 Twin Pines Trail
81,Brewer Pechold,Brewer,Pechold,86(406)335-3438,Mignonne D'Enrico,46(965)291-3483,1591147244,174,1591147418,134,Rochester,NY,6 Evergreen Avenue
82,Adelice Longfoot,Adelice,Longfoot,62(863)512-0454,Christean Giovanizio,503(570)311-1476,1600646328,23,1600646351,132,New Hyde Park,NY,9 Wayridge Drive
83,Herby Mordin,Herby,Mordin,7(731)761-6245,Francyne Kanter,84(898)526-1387,1598155634,154,1598155788,112,New York City,NY,9 3rd Point
84,Ellen Littleproud,Ellen,Littleproud,62(503)469-8975,Jeri Agronski,86(992)573-8686,1587552477,137,1587552614,80,White Plains,NY,449 West Trail
85,Clarie Crambie,Clarie,Crambie,52(622)229-7832,Letisha Manton,62(227)579-0108,1584481982,230,1584482212,66,Utica,NY,2 Morrow Road
86,Karlotte Sidebotham,Karlotte,Sidebotham,93(107)725-5164,Ketty Pigeram,7(799)961-0453,1596056421,277,1596056698,115,New York City,NY,04569 Larry Court
87,Catharine Atyeo,Catharine,Atyeo,55(120)613-0628,Vernor Calbert,255(816)942-9978,1578908925,128,1578909053,13,Bronx,NY,8913 Monument Circle
88,Addie Ruddom,Addie,Ruddom,62(412)820-8164,Hallie Rozycki,55(812)691-8846,1587620989,207,1587621196,30,Albany,NY,904 Meadow Valley Alley
89,Madlin Churly,Madlin,Churly,62(653)576-9186,Lyda Geroldo,63(493)489-0725,1581480901,117,1581481018,104,New York City,NY,147 Katie Trail
90,Meredith Denisevich,Meredith,Denisevich,58(572)485-2393,Bendix Duinbleton,63(117)708-5135,1578196723,8,1578196731,72,Brooklyn,NY,1576 Briar Crest Alley
91,Selma Diggle,Selma,Diggle,1(860)856-2361,Vyky Schroter,351(142)652-2468,1582953003,130,1582953133,57,Rochester,NY,89 Twin Pines Center
92,Skylar Ashlin,Skylar,Ashlin,98(775)873-6474,Angelia Currey,86(420)665-9233,1593047589,142,1593047731,2,Albany,NY,0852 Elgar Circle
93,Zenia Ratnege,Zenia,Ratnege,63(430)538-8343,Shani Vasyunin,81(273)325-7857,1589588644,200,1589588844,49,Jamaica,NY,854 Little Fleur Road
94,Ardelle Tenbrug,Ardelle,Tenbrug,251(856)113-8667,Leonid Gimeno,66(176)657-4619,1579443457,292,1579443749,78,New York City,NY,90 North Avenue
95,Emilie Hambelton,Emilie,Hambelton,55(439)937-7494,Scarface Charlesworth,86(225)403-1281,1587216176,249,1587216425,133,Buffalo,NY,19 Hanover Court
96,Wait Nendick,Wait,Nendick,977(899)571-1823,Bekki Caldroni,1(801)583-0849,1595782619,74,1595782693,30,New York City,NY,71123 Steensland Terrace
97,Bern Saura,Bern,Saura,86(389)232-0280,Fianna Dyton,62(379)141-6737,1591530537,124,1591530661,97,New York City,NY,67 Helena Parkway
98,Guenevere Parkhouse,Guenevere,Parkhouse,62(340)576-1969,Samson Millican,46(437)970-6395,1584587101,34,1584587135,88,Jamaica,NY,10 Jackson Avenue
99,Arlina Houndesome,Arlina,Houndesome,30(103)527-2083,Nickie Canellas,94(460)258-1947,1584799778,245,1584800023,101,Syracuse,NY,1 Jenifer Way
100,Johannah Claussen,Johannah,Claussen,54(705)691-7488,Clemence Bricket,33(705)323-6842,1585781866,220,1585782086,33,Brooklyn,NY,353 Kensington Parkway
101,Ellary Addinall,Ellary,Addinall,373(700)581-3009,Olenka Askie,60(100)856-0502,1595422125,234,1595422359,31,Buffalo,NY,580 Calypso Alley
102,Muhammad Pumphrey,Muhammad,Pumphrey,55(392)353-4841,Daniel Rolley,1(513)726-1651,1587308885,292,1587309177,33,Brooklyn,NY,6 Granby Drive
103,Brooks Carde,Brooks,Carde,62(178)575-9921,Hali Grayer,55(523)387-7041,1586324348,193,1586324541,39,Schenectady,NY,3534 Jackson Hill
104,Kristyn Rosebotham,Kristyn,Rosebotham,86(823)256-1144,Traver Weal,33(536)343-4075,1582275084,297,1582275381,139,Rochester,NY,4 Kenwood Alley
105,Kirby Cridlan,Kirby,Cridlan,7(482)749-1781,Galvin Ugolini,7(500)270-6716,1581544509,77,1581544586,48,Buffalo,NY,090 Rieder Junction
106,Oralie Waghorn,Oralie,Waghorn,52(827)872-2319,Audra Bunworth,53(780)633-7901,1590213546,142,1590213688,127,New York City,NY,9 Reindahl Plaza
107,Arlina Houndesome,Arlina,Houndesome,30(103)527-2083,Tansy Shakesby,55(527)211-3676,1584008367,44,1584008411,41,New York City,NY,7 Dovetail Avenue
108,Osbourn Gut,Osbourn,Gut,81(575)530-6134,Walden Vanyatin,54(641)316-5091,1588602452,53,1588602505,110,New York City,NY,65246 Novick Hill
109,Helaine Licciardo,Helaine,Licciardo,86(910)190-9510,Rubi Fackney,86(101)365-3283,1595354482,104,1595354586,136,Buffalo,NY,3 Hermina Parkway
110,Dael Sivyour,Dael,Sivyour,251(454)971-3971,Fitz Van der Veldt,66(479)888-8567,1581293694,227,1581293921,133,New York City,NY,18413 Susan Drive
111,Ashlin Nanninini,Ashlin,Nanninini,86(372)405-9640,Clair Renzo,351(257)853-3964,1579515433,88,1579515521,79,Rochester,NY,9116 Arkansas Place
112,Gracie Sodo,Gracie,Sodo,62(842)653-7499,Mayne Childs,63(659)485-4929,1583673790,179,1583673969,17,Rochester,NY,2 Pond Street
113,Wake Shapter,Wake,Shapter,55(117)890-9642,Devon Bogue,7(576)733-8637,1583667823,194,1583668017,84,Brooklyn,NY,0888 Bobwhite Hill
114,Glennie Walmsley,Glennie,Walmsley,55(733)115-9488,Caron Adcock,380(746)172-1869,1584489830,41,1584489871,66,Elmira,NY,5 Old Gate Road
115,Garvey Grollmann,Garvey,Grollmann,389(365)470-8680,Evaleen Tuffley,62(499)121-3987,1578187953,133,1578188086,81,Hicksville,NY,59192 Goodland Point
116,Bekki Caldroni,Bekki,Caldroni,1(801)583-0849,Hali Grayer,55(523)387-7041,1587736666,150,1587736816,50,Rochester,NY,448 Canary Hill
117,Boone Lavallin,Boone,Lavallin,30(527)210-0030,Craggie Cuncliffe,86(383)129-1103,1581392569,193,1581392762,43,White Plains,NY,1535 Mallory Trail
118,Shoshana Gatheral,Shoshana,Gatheral,62(608)781-5104,Shani Vasyunin,81(273)325-7857,1592211580,225,1592211805,29,New York City,NY,555 Hallows Circle
119,Abagail Gillion,Abagail,Gillion,996(634)404-7079,Ellen Littleproud,62(503)469-8975,1603132555,123,1603132678,11,Albany,NY,9 Basil Pass
120,Darbie Summerscales,Darbie,Summerscales,385(816)826-9998,Terrell Novak,63(306)981-6952,1601049181,206,1601049387,4,Rochester,NY,6 Rieder Way
121,Vladamir Jonczyk,Vladamir,Jonczyk,46(141)913-1277,Nickolai Punt,86(477)744-9765,1584453594,258,1584453852,150,New York City,NY,95 Superior Plaza
122,Lily Cristofor,Lily,Cristofor,86(810)225-2683,Lena Chestle,86(583)485-3342,1601781582,80,1601781662,47,Bronx,NY,56 Commercial Center
123,Letisha Manton,Letisha,Manton,62(227)579-0108,Thia Tollit,62(571)866-4685,1597422486,59,1597422545,1,New York City,NY,72 School Crossing
124,Norah Rudolph,Norah,Rudolph,1(997)908-4296,Tildy Barkas,358(500)799-4300,1578493836,72,1578493908,64,New York City,NY,6 Knutson Court
125,Lin Aulsford,Lin,Aulsford,46(289)914-1498,Carmella Sawyer,63(979)884-2490,1603137149,168,1603137317,72,New York City,NY,10240 Sunnyside Place
126,Karleen Dommett,Karleen,Dommett,385(930)236-8494,Rozamond Pluck,964(876)391-4264,1589696201,25,1589696226,74,New York City,NY,374 Southridge Center
127,Philbert Burry,Philbert,Burry,1(262)936-9848,Nickolai Punt,86(477)744-9765,1588649627,50,1588649677,8,Flushing,NY,0009 Mariners Cove Lane
128,Omero Halwell,Omero,Halwell,62(204)360-4327,Tine Becerro,86(602)395-7924,1582201851,125,1582201976,24,New York City,NY,7617 Northport Alley
129,Ofelia Colebrook,Ofelia,Colebrook,63(754)452-9366,Gare Dalliston,964(207)437-3938,1596989831,244,1596990075,18,Albany,NY,6226 Waxwing Circle
130,Adele Stuck,Adele,Stuck,30(891)823-1478,Stephanie Wilshaw,1(637)117-5442,1595320589,59,1595320648,7,Brooklyn,NY,4840 Commercial Alley
131,Dollie Birchall,Dollie,Birchall,358(630)923-9414,Samaria Padillo,30(253)109-7148,1584652708,137,1584652845,12,Albany,NY,75675 Eggendart Lane
132,Jorry Frood,Jorry,Frood,53(353)147-7565,Taite de Glanville,62(855)660-7043,1599689514,143,1599689657,140,Buffalo,NY,56 Dawn Alley
133,Rodina Glaves,Rodina,Glaves,351(448)886-0290,Bryanty Martinson,967(572)452-4680,1585362113,85,1585362198,45,Jamaica,NY,09 Kipling Center
134,Charmane Wilbor,Charmane,Wilbor,86(769)363-5709,Hube Herkess,86(666)771-5623,1580046686,108,1580046794,129,New York City,NY,7263 Dennis Road
135,Jeri Agronski,Jeri,Agronski,86(992)573-8686,Lin Aulsford,46(289)914-1498,1582528164,234,1582528398,106,New York City,NY,60004 Dryden Way
136,Leeland Sieghart,Leeland,Sieghart,380(558)106-6102,Opalina Phython,86(188)632-0757,1601790484,158,1601790642,98,Brooklyn,NY,499 Milwaukee Terrace
137,Maurise McClifferty,Maurise,McClifferty,994(119)852-7927,Goldina Ventham,7(903)352-2461,1579449597,153,1579449750,129,New York City,NY,18 Burrows Drive
138,Raf Chisnall,Raf,Chisnall,970(881)968-1625,Cory Tomaselli,1(292)647-0809,1600484136,4,1600484140,119,Buffalo,NY,83062 Waxwing Hill
139,Clair Renzo,Clair,Renzo,351(257)853-3964,Tori Challace,48(492)494-2794,1583652502,113,1583652615,29,New York City,NY,75 Schurz Pass
140,Levin Whyteman,Levin,Whyteman,389(925)335-0651,Kelci Cisneros,52(829)214-0863,1586852002,52,1586852054,116,New York City,NY,33 Redwing Road
141,Gardiner Silcocks,Gardiner,Silcocks,52(230)340-1750,Letta Fabry,81(761)998-6440,1597690629,96,1597690725,127,New York City,NY,18 Service Way
142,Ellen Littleproud,Ellen,Littleproud,62(503)469-8975,Erda Pikett,54(758)710-4450,1588850751,80,1588850831,1,Albany,NY,0104 Hazelcrest Circle
143,Samaria Padillo,Samaria,Padillo,30(253)109-7148,Ephrem Blodget,55(948)259-7397,1602866016,162,1602866178,50,New York City,NY,14 Spohn Pass
144,Jania Brou,Jania,Brou,66(992)901-5469,Corny Kohrt,86(743)737-7381,1600616063,185,1600616248,57,Jamaica,NY,0420 Vernon Avenue
145,Raviv Breydin,Raviv,Breydin,387(136)498-2070,Nial Agar,62(677)146-9559,1578506177,49,1578506226,77,Jamaica,NY,59669 Vera Alley
146,Rick Edler,Rick,Edler,52(590)443-0322,Goldina Ventham,7(903)352-2461,1598589829,127,1598589956,25,New York City,NY,8 Maywood Alley
147,Jayne O'Hanley,Jayne,O'Hanley,1(336)497-7203,Kelci Cisneros,52(829)214-0863,1590677260,269,1590677529,7,Rochester,NY,7241 Elgar Plaza
148,Desi Leith-Harvey,Desi,Leith-Harvey,46(459)115-3783,Daniel Rolley,1(513)726-1651,1596861432,176,1596861608,109,Jamaica,NY,61763 Pierstorff Road
149,Erda Pikett,Erda,Pikett,54(758)710-4450,Martin Kimbrough,7(610)631-2502,1588069697,154,1588069851,141,Rochester,NY,04 Kensington Place
150,Dwain Bortolussi,Dwain,Bortolussi,55(560)194-5513,Phelia Kilgrew,30(870)627-7971,1602691784,278,1602692062,89,Syracuse,NY,92 Northview Hill
151,Elinore Leppington,Elinore,Leppington,967(291)595-6643,Jorry Frood,53(353)147-7565,1594830175,230,1594830405,7,New York City,NY,76 Scofield Point
152,Gerome Patroni,Gerome,Patroni,86(656)649-1650,Becca Clinton,48(348)894-0231,1596868207,129,1596868336,105,Utica,NY,47 Northfield Crossing
153,Parsifal Skpsey,Parsifal,Skpsey,54(705)509-0044,Rolando Dinneges,62(398)359-4023,1590331793,72,1590331865,73,Staten Island,NY,167 Fair Oaks Center
154,Roldan Ianitti,Roldan,Ianitti,381(150)523-3916,Rosaline Peever,33(930)468-3586,1599614812,100,1599614912,97,Rochester,NY,00 Jana Street
155,Bernadine Renshaw,Bernadine,Renshaw,95(870)194-3318,Cacilia Larkcum,51(697)857-2835,1587933933,71,1587934004,81,Rochester,NY,34426 Mayfield Circle
156,Tom Petters,Tom,Petters,86(566)208-8477,Ranee Almond,66(988)806-9365,1587395624,97,1587395721,149,New York City,NY,4 Butterfield Street
157,Letta Fabry,Letta,Fabry,81(761)998-6440,Guenevere Parkhouse,62(340)576-1969,1583314473,130,1583314603,83,New York City,NY,392 Eastwood Junction
158,Delmor Dabbs,Delmor,Dabbs,86(694)844-1123,Myron Botten,356(891)942-2869,1590322179,150,1590322329,82,New York City,NY,8465 Knutson Trail
159,Hobey Simounet,Hobey,Simounet,86(978)126-4242,Michael Ruhben,7(881)181-1270,1583678588,100,1583678688,33,Port Washington,NY,2 Clove Drive
160,Donny Catenot,Donny,Catenot,86(554)766-7139,Wells Orme,86(707)728-7762,1591563927,68,1591563995,36,Brooklyn,NY,68947 Carey Center
161,Ardisj Tort,Ardisj,Tort,7(275)584-5094,Shoshana Gatheral,62(608)781-5104,1579863687,268,1579863955,93,Jamaica,NY,64 Longview Avenue
162,Natalee Sauvan,Natalee,Sauvan,351(915)329-3669,Robbert McCloughlin,62(180)979-2600,1589343657,197,1589343854,66,Brooklyn,NY,6 Blue Bill Park Court
163,Adelice Longfoot,Adelice,Longfoot,62(863)512-0454,Carolyne Casolla,51(900)526-7210,1579620474,162,1579620636,44,Great Neck,NY,7 Toban Avenue
164,Johny Lingner,Johny,Lingner,351(617)272-2007,Goober Pothbury,86(633)683-7935,1581227870,204,1581228074,70,Buffalo,NY,7 Fallview Plaza
165,Henrie Ealam,Henrie,Ealam,86(754)555-9029,Zora Riseley,86(127)963-0690,1587657902,286,1587658188,32,Bronx,NY,65554 Reindahl Point
166,Georg MacCarrick,Georg,MacCarrick,86(856)717-2286,Lee Mincini,66(457)182-8646,1590491386,201,1590491587,92,Jamaica,NY,8984 Dakota Pass
167,Brewster Larchiere,Brewster,Larchiere,86(788)148-3944,Merwyn Andries,381(885)404-8466,1593498494,49,1593498543,85,New York City,NY,3842 Brickson Park Lane
168,Arlina Houndesome,Arlina,Houndesome,30(103)527-2083,Tawnya Ahmed,62(620)634-0178,1583185072,37,1583185109,35,Hicksville,NY,65 Independence Park
169,Nobie Iacomo,Nobie,Iacomo,60(274)302-4912,Ephraim Broe,86(964)522-6227,1591585512,54,1591585566,67,Albany,NY,31 Dayton Street
